hospital_id,date,arrivals,avg_time_to_admission,bed_requests
HHN-BIR-01,2024-01-01,80,30.55,22
HHN-BIR-01,2024-01-02,83,43.83132530120482,31
HHN-BIR-01,2024-01-03,72,49.94444444444444,28
HHN-BIR-01,2024-01-04,95,58.43157894736842,29
HHN-BIR-01,2024-01-05,80,56.0,26
HHN-BIR-01,2024-01-06,98,72.89795918367346,39
HHN-BIR-01,2024-01-07,69,38.608695652173914,18
HHN-BIR-01,2024-01-08,119,45.294117647058826,36
HHN-BIR-01,2024-01-09,80,40.1875,21
HHN-BIR-01,2024-01-10,92,37.641304347826086,22
HHN-BIR-01,2024-01-11,82,45.46341463414634,23
HHN-BIR-01,2024-01-12,114,43.175438596491226,33
HHN-BIR-01,2024-01-13,72,41.111111111111114,18
HHN-BIR-01,2024-01-14,111,77.01801801801801,45
HHN-BIR-01,2024-01-15,88,45.48863636363637,25
HHN-BIR-01,2024-01-16,97,50.95876288659794,30
HHN-BIR-01,2024-01-17,128,42.21875,35
HHN-BIR-01,2024-01-18,121,57.68595041322314,42
HHN-BIR-01,2024-01-19,72,61.22222222222222,25
HHN-BIR-01,2024-01-20,101,54.148514851485146,27
HHN-BIR-01,2024-01-21,122,65.30327868852459,48
HHN-BIR-01,2024-01-22,97,45.54639175257732,28
HHN-BIR-01,2024-01-23,107,52.55140186915888,36
HHN-BIR-01,2024-01-24,101,28.544554455445546,22
HHN-BIR-01,2024-01-25,98,41.326530612244895,23
HHN-BIR-01,2024-01-26,62,66.03225806451613,21
HHN-BIR-01,2024-01-27,87,42.94252873563219,25
HHN-BIR-01,2024-01-28,97,52.72164948453608,34
HHN-BIR-01,2024-01-29,84,39.833333333333336,24
HHN-BIR-01,2024-01-30,141,47.702127659574465,47
HHN-BIR-01,2024-01-31,137,35.722627737226276,33
HHN-BIR-01,2024-02-01,55,55.2,20
HHN-BIR-01,2024-02-02,88,44.60227272727273,25
HHN-BIR-01,2024-02-03,164,52.6890243902439,55
HHN-BIR-01,2024-02-04,94,43.9468085106383,29
HHN-BIR-01,2024-02-05,86,33.69767441860465,19
HHN-BIR-01,2024-02-06,59,45.49152542372882,19
HHN-BIR-01,2024-02-07,104,42.75,31
HHN-BIR-01,2024-02-08,116,49.12931034482759,38
HHN-BIR-01,2024-02-09,70,59.714285714285715,25
HHN-BIR-01,2024-02-10,167,50.34730538922156,50
HHN-BIR-01,2024-02-11,114,53.14912280701754,40
HHN-BIR-01,2024-02-12,99,39.06060606060606,28
HHN-BIR-01,2024-02-13,97,38.29896907216495,28
HHN-BIR-01,2024-02-14,134,45.201492537313435,39
HHN-BIR-01,2024-02-15,141,48.340425531914896,45
HHN-BIR-01,2024-02-16,71,60.971830985915496,23
HHN-BIR-01,2024-02-17,124,41.91129032258065,36
HHN-BIR-01,2024-02-18,128,43.34375,38
HHN-BIR-01,2024-02-19,84,28.714285714285715,16
HHN-BIR-01,2024-02-20,117,57.324786324786324,42
HHN-BIR-01,2024-02-21,109,42.95412844036697,32
HHN-BIR-01,2024-02-22,68,45.23529411764706,20
HHN-BIR-01,2024-02-23,81,61.51851851851852,26
HHN-BIR-01,2024-02-24,51,76.90196078431373,19
HHN-BIR-01,2024-02-25,96,58.145833333333336,29
HHN-BIR-01,2024-02-26,89,44.71910112359551,25
HHN-BIR-01,2024-02-27,81,49.95061728395062,25
HHN-BIR-01,2024-02-28,128,53.4296875,44
HHN-BIR-01,2024-02-29,139,41.56115107913669,41
HHN-BIR-01,2024-03-01,79,56.45569620253165,25
HHN-BIR-01,2024-03-02,87,47.39080459770115,28
HHN-BIR-01,2024-03-03,47,37.38297872340426,12
HHN-BIR-01,2024-03-04,63,56.904761904761905,18
HHN-BIR-01,2024-03-05,44,39.13636363636363,11
HHN-BIR-01,2024-03-06,162,45.68518518518518,49
HHN-BIR-01,2024-03-07,78,55.35897435897436,21
HHN-BIR-01,2024-03-08,99,54.18181818181818,31
HHN-BIR-01,2024-03-09,41,64.41463414634147,15
