hospital_name,hospital_id,unit,Current_Rolling_MAE,Baseline_Error,Drift_Threshold,Drift_Status
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Cardiology Ward,2.1493137491683787,2.1493137491683787,3.2239706237525683,Normal
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Day Case Unit,0.1606092057666667,0.1606092057666667,0.24091380865000006,Normal
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_General Medicine Ward A,0.21611587168529134,0.21611587168529134,0.324173807527937,Normal
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_General Medicine Ward B,1.1614490555555557,1.1614490555555557,1.7421735833333334,Normal
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_ICU,0.284337678796721,0.284337678796721,0.4265065181950815,Normal
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Oncology Ward,1.734270905164691,1.734270905164691,2.6014063577470363,Normal
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Orthopaedics Ward A,0.08595672041525226,0.08595672041525226,0.1289350806228784,Normal
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Orthopaedics Ward B,0.17404166666666676,0.17404166666666676,0.26106250000000014,Normal
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Cardiology Ward,1.6286697129420733,1.6286697129420733,2.4430045694131097,Normal
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Day Case Unit,0.15769579885555554,0.15769579885555554,0.23654369828333333,Normal
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_General Medicine Ward A,0.1623273882609832,0.1623273882609832,0.2434910823914748,Normal
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_General Medicine Ward B,1.0053010942439513,1.0053010942439513,1.5079516413659269,Normal
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_ICU,0.6580265705154841,0.6580265705154841,0.9870398557732261,Normal
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Oncology Ward,0.7713267358914992,0.7713267358914992,1.156990103837249,Normal
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Orthopaedics Ward A,0.25063061555854965,0.25063061555854965,0.3759459233378245,Normal
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_Orthopaedics Ward B,0.31431939067786957,0.31431939067786957,0.4714790860168043,Normal
Horizon London Central,HHN-LON-01,HHN-LON-01_Cardiology Ward,4.320143792771031,4.320143792771031,6.480215689156546,Normal
Horizon London Central,HHN-LON-01,HHN-LON-01_Day Case Unit,0.2537097543911395,0.2537097543911395,0.3805646315867093,Normal
Horizon London Central,HHN-LON-01,HHN-LON-01_General Medicine Ward A,2.2557209222222223,2.2557209222222223,3.3835813833333335,Normal
Horizon London Central,HHN-LON-01,HHN-LON-01_General Medicine Ward B,2.4599419834987706,2.4599419834987706,3.6899129752481556,Normal
Horizon London Central,HHN-LON-01,HHN-LON-01_ICU,0.9760961183722934,0.9760961183722934,1.46414417755844,Normal
Horizon London Central,HHN-LON-01,HHN-LON-01_Oncology Ward,2.980656133333334,2.980656133333334,4.470984200000001,Normal
Horizon London Central,HHN-LON-01,HHN-LON-01_Orthopaedics Ward A,2.740073588888888,2.740073588888888,4.110110383333332,Normal
Horizon London Central,HHN-LON-01,HHN-LON-01_Orthopaedics Ward B,2.734785588950551,2.734785588950551,4.1021783834258265,Normal
Horizon London Riverside,HHN-LON-02,HHN-LON-02_Cardiology Ward,0.0852053444444446,0.0852053444444446,0.12780801666666688,Normal
Horizon London Riverside,HHN-LON-02,HHN-LON-02_Day Case Unit,0.1571947299888889,0.1571947299888889,0.23579209498333334,Normal
Horizon London Riverside,HHN-LON-02,HHN-LON-02_General Medicine Ward A,0.1495560465457686,0.1495560465457686,0.2243340698186529,Normal
Horizon London Riverside,HHN-LON-02,HHN-LON-02_General Medicine Ward B,0.304649411111111,0.304649411111111,0.4569741166666665,Normal
Horizon London Riverside,HHN-LON-02,HHN-LON-02_ICU,1.0635292355555552,1.0635292355555552,1.5952938533333327,Normal
Horizon London Riverside,HHN-LON-02,HHN-LON-02_Oncology Ward,2.5978033777777783,2.5978033777777783,3.8967050666666676,Normal
Horizon London Riverside,HHN-LON-02,HHN-LON-02_Orthopaedics Ward A,0.20568531403416732,0.20568531403416732,0.30852797105125096,Normal
Horizon London Riverside,HHN-LON-02,HHN-LON-02_Orthopaedics Ward B,0.391334516666667,0.391334516666667,0.5870017750000005,Normal
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Cardiology Ward,0.6848102910389758,0.6848102910389758,1.0272154365584638,Normal
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Day Case Unit,0.1833455967777778,0.1833455967777778,0.2750183951666667,Normal
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_General Medicine Ward A,1.6444455856699014,1.6444455856699014,2.466668378504852,Normal
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_General Medicine Ward B,0.47744039257025406,0.47744039257025406,0.716160588855381,Normal
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_ICU,0.20427472940960506,0.20427472940960506,0.3064120941144076,Normal
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Oncology Ward,1.2099722111111098,1.2099722111111098,1.8149583166666647,Normal
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Orthopaedics Ward A,2.165183685761951,2.165183685761951,3.2477755286429266,Normal
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Orthopaedics Ward B,1.2079317387588742,1.2079317387588742,1.8118976081383114,Normal
