hospital_id,date,total_admissions,total_discharges,total_beds,occupied_beds,staffed_beds,closed_beds,occupancy_rate,completed_surgeries,expected_los,cancelled_surgeries,arrivals,avg_time_to_admission,bed_requests,planned_staff,actual_staff,safe_ratio,hospital_name,city,tier,specialty_emphasis,total_bed_capacity
HHN-BIR-01,2024-01-01,20,,42.0,1.0833333333333333,15.630208333333334,0.0,0.07089359234938503,,,,80.0,30.55,22.0,64.0,61.0,0.9375,Horizon Birmingham,Birmingham,Medium,Cardiology,126
HHN-BIR-01,2024-01-02,35,5.0,42.0,3.921875,15.578125,0.0,0.26930978766916264,3.0,1.9666666666666668,,83.0,43.83132530120482,31.0,64.0,58.0,0.875,Horizon Birmingham,Birmingham,Medium,Cardiology,126
HHN-BIR-01,2024-01-03,29,17.0,42.0,6.864583333333333,15.671875,0.0,0.44316829004329,1.0,1.4,1.0,72.0,49.94444444444444,28.0,64.0,62.0,0.9375,Horizon Birmingham,Birmingham,Medium,Cardiology,126
HHN-BIR-01,2024-01-04,35,14.0,42.0,8.807291666666666,15.578125,0.0,0.5769527208405885,8.0,2.975,1.0,95.0,58.43157894736842,29.0,64.0,63.0,0.96875,Horizon Birmingham,Birmingham,Medium,Cardiology,126
HHN-BIR-01,2024-01-05,41,29.0,42.0,10.3125,15.661458333333334,0.0,0.6848491479925304,13.0,2.338461538461538,1.0,80.0,56.0,26.0,64.0,62.0,0.9375,Horizon Birmingham,Birmingham,Medium,Cardiology,126
HHN-BIR-01,2024-01-06,35,15.0,42.0,10.911458333333334,15.526041666666666,0.0,0.6999473270643212,,,,98.0,72.89795918367346,39.0,64.0,62.0,0.9375,Horizon Birmingham,Birmingham,Medium,Cardiology,126
HHN-BIR-01,2024-01-07,20,29.0,42.0,11.520833333333334,15.546875,0.0,0.7600867850795289,,,,69.0,38.608695652173914,18.0,64.0,62.0,0.96875,Horizon Birmingham,Birmingham,Medium,Cardiology,126
HHN-BIR-01,2024-01-08,46,26.0,42.0,12.088541666666666,15.59375,0.0,0.7871638481219073,12.0,2.566666666666667,1.0,119.0,45.294117647058826,36.0,64.0,64.0,1.0,Horizon Birmingham,Birmingham,Medium,Cardiology,126
HHN-BIR-01,2024-01-09,27,29.0,42.0,13.026041666666666,15.645833333333334,0.0,0.8110099493371553,6.0,3.9333333333333336,1.0,80.0,40.1875,21.0,64.0,64.0,1.0,Horizon Birmingham,Birmingham,Medium,Cardiology,126
HHN-BIR-01,2024-01-10,34,40.0,42.0,12.916666666666666,15.536458333333334,0.0,0.8203985292660531,11.0,2.4454545454545453,1.0,92.0,37.641304347826086,22.0,64.0,64.0,1.0,Horizon Birmingham,Birmingham,Medium,Cardiology,126
HHN-BIR-01,2024-01-11,25,30.0,42.0,12.630208333333334,15.619791666666666,0.0,0.7901396703993772,4.0,2.675,1.0,82.0,45.46341463414634,23.0,64.0,63.0,0.96875,Horizon Birmingham,Birmingham,Medium,Cardiology,126
HHN-BIR-01,2024-01-12,40,46.0,42.0,12.020833333333334,15.614583333333334,0.0,0.789325912278914,6.0,2.6333333333333333,3.0,114.0,43.175438596491226,33.0,64.0,62.0,0.96875,Horizon Birmingham,Birmingham,Medium,Cardiology,126
HHN-BIR-01,2024-01-13,18,32.0,42.0,11.359375,15.567708333333334,0.0,0.7711092229359693,,,,72.0,41.111111111111114,18.0,64.0,58.0,0.84375,Horizon Birmingham,Birmingham,Medium,Cardiology,126
HHN-BIR-01,2024-01-14,43,27.0,42.0,10.942708333333334,15.541666666666666,0.0,0.7592139211164947,,,,111.0,77.01801801801801,45.0,64.0,60.0,0.875,Horizon Birmingham,Birmingham,Medium,Cardiology,126
HHN-BIR-01,2024-01-15,39,25.0,42.0,12.197916666666666,15.661458333333334,0.0,0.8138952295661855,14.0,3.1999999999999997,2.0,88.0,45.48863636363637,25.0,64.0,59.0,0.875,Horizon Birmingham,Birmingham,Medium,Cardiology,126
