hospital_id,date,total_admissions,total_discharges,total_beds,occupied_beds,staffed_beds,closed_beds,occupancy_rate,completed_surgeries,expected_los,cancelled_surgeries,arrivals,avg_time_to_admission,bed_requests,planned_staff,actual_staff,safe_ratio,hospital_name,city,tier,specialty_emphasis,total_bed_capacity,year,month,quarter,day,day_of_week,week,is_weekend,occupancy_percent,staff_utilisation,admission_discharge_difference,bed_utilisation
HHN-BIR-01,2024-01-01,20,0,42.0,1.0833333333333333,15.630208333333334,0.0,0.070893592349385,0,0.0,0,80,30.55,22,64.0,61.0,0.9375,Horizon Birmingham,Birmingham,Medium,Cardiology,126,2024,1,1,1,0,1,0,0.025793650793650792,0.953125,20,0.06931022992335888
HHN-BIR-01,2024-01-02,35,5,42.0,3.921875,15.578125,0.0,0.2693097876691626,3,1.9666666666666668,0,83,43.83132530120482,31,64.0,58.0,0.875,Horizon Birmingham,Birmingham,Medium,Cardiology,126,2024,1,1,2,1,1,0,0.09337797619047619,0.90625,30,0.25175526579739216
HHN-BIR-01,2024-01-03,29,17,42.0,6.864583333333333,15.671875,0.0,0.44316829004329,1,1.4,1,72,49.94444444444444,28,64.0,62.0,0.9375,Horizon Birmingham,Birmingham,Medium,Cardiology,126,2024,1,1,3,2,1,0,0.16344246031746032,0.96875,12,0.43801927550681286
HHN-BIR-01,2024-01-04,35,14,42.0,8.807291666666666,15.578125,0.0,0.5769527208405885,8,2.975,1,95,58.43157894736842,29,64.0,63.0,0.96875,Horizon Birmingham,Birmingham,Medium,Cardiology,126,2024,1,1,4,3,1,0,0.2096974206349206,0.984375,21,0.565362754931461
HHN-BIR-01,2024-01-05,41,29,42.0,10.3125,15.661458333333334,0.0,0.6848491479925304,13,2.338461538461538,1,80,56.0,26,64.0,62.0,0.9375,Horizon Birmingham,Birmingham,Medium,Cardiology,126,2024,1,1,5,4,1,0,0.24553571428571427,0.96875,12,0.6584635849684071
HHN-BIR-01,2024-01-06,35,15,42.0,10.911458333333334,15.526041666666666,0.0,0.6999473270643212,0,0.0,0,98,72.89795918367346,39,64.0,62.0,0.9375,Horizon Birmingham,Birmingham,Medium,Cardiology,126,2024,1,1,6,5,1,1,0.259796626984127,0.96875,20,0.7027843005702785
HHN-BIR-01,2024-01-07,20,29,42.0,11.520833333333334,15.546875,0.0,0.7600867850795289,0,0.0,0,69,38.60869565217392,18,64.0,62.0,0.96875,Horizon Birmingham,Birmingham,Medium,Cardiology,126,2024,1,1,7,6,1,1,0.2743055555555556,0.96875,-9,0.7410385259631491
HHN-BIR-01,2024-01-08,46,26,42.0,12.088541666666666,15.59375,0.0,0.7871638481219073,12,2.566666666666667,1,119,45.294117647058826,36,64.0,64.0,1.0,Horizon Birmingham,Birmingham,Medium,Cardiology,126,2024,1,1,8,0,2,0,0.28782242063492064,1.0,20,0.7752171008684035
HHN-BIR-01,2024-01-09,27,29,42.0,13.026041666666666,15.645833333333334,0.0,0.8110099493371553,6,3.9333333333333336,1,80,40.1875,21,64.0,64.0,1.0,Horizon Birmingham,Birmingham,Medium,Cardiology,126,2024,1,1,9,1,2,0,0.3101438492063492,1.0,-2,0.8325565912117177
HHN-BIR-01,2024-01-10,34,40,42.0,12.916666666666666,15.536458333333334,0.0,0.8203985292660531,11,2.4454545454545453,1,92,37.641304347826086,22,64.0,64.0,1.0,Horizon Birmingham,Birmingham,Medium,Cardiology,126,2024,1,1,10,2,2,0,0.3075396825396825,1.0,-6,0.8313778075762654
HHN-BIR-01,2024-01-11,25,30,42.0,12.630208333333334,15.619791666666666,0.0,0.7901396703993772,4,2.675,1,82,45.46341463414634,23,64.0,63.0,0.96875,Horizon Birmingham,Birmingham,Medium,Cardiology,126,2024,1,1,11,3,2,0,0.30071924603174605,0.984375,-5,0.808602867622541
HHN-BIR-01,2024-01-12,40,46,42.0,12.020833333333334,15.614583333333334,0.0,0.789325912278914,6,2.6333333333333333,3,114,43.175438596491226,33,64.0,62.0,0.96875,Horizon Birmingham,Birmingham,Medium,Cardiology,126,2024,1,1,12,4,2,0,0.2862103174603175,0.96875,-6,0.7698465643762509
HHN-BIR-01,2024-01-13,18,32,42.0,11.359375,15.567708333333334,0.0,0.7711092229359693,0,0.0,0,72,41.11111111111112,18,64.0,58.0,0.84375,Horizon Birmingham,Birmingham,Medium,Cardiology,126,2024,1,1,13,5,2,1,0.27046130952380953,0.90625,-14,0.7296754767480762
HHN-BIR-01,2024-01-14,43,27,42.0,10.942708333333334,15.541666666666666,0.0,0.7592139211164947,0,0.0,0,111,77.01801801801801,45,64.0,60.0,0.875,Horizon Birmingham,Birmingham,Medium,Cardiology,126,2024,1,1,14,6,2,1,0.2605406746031746,0.9375,16,0.704088471849866
