hospital_name,hospital_id,unit,date,actual,predicted,model,ward,total_beds,baseline_forecast,stress_10,stress_20,stress_30,baseline_occupancy_pct,stress_10_pct,stress_20_pct,stress_30_pct,baseline_breach,stress_10_breach,stress_20_breach,stress_30_breach
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Cardiology Ward,2025-12-25,21.20833333333333,22.28165367795529,SARIMA,Cardiology Ward,42,22.28165367795529,24.50981904575082,26.737984413546346,28.96614978134188,53.05155637608403,58.35671201369242,63.66186765130083,68.96702328890923,False,False,False,False
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Cardiology Ward,2025-12-26,23.375,21.692058144606413,SARIMA,Cardiology Ward,42,21.692058144606413,23.861263959067056,26.030469773527695,28.199675587988338,51.64775748715813,56.81253323587394,61.977308984589754,67.14208473330557,False,False,False,False
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Cardiology Ward,2025-12-27,19.0,19.730130548308445,SARIMA,Cardiology Ward,42,19.730130548308445,21.703143603139292,23.676156657970132,25.64916971280098,46.9765013054963,51.67415143604593,56.37180156659556,61.0694516971452,False,False,False,False
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Cardiology Ward,2025-12-28,18.875,17.138077758943286,SARIMA,Cardiology Ward,42,17.138077758943286,18.851885534837617,20.56569331073194,22.279501086626272,40.80494704510306,44.88544174961338,48.96593645412367,53.04643115863398,False,False,False,False
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Cardiology Ward,2025-12-29,16.916666666666668,16.98828894967998,SARIMA,Cardiology Ward,42,16.98828894967998,18.68711784464798,20.385946739615974,22.084775634583973,40.44830702304757,44.493137725352334,48.53796842765708,52.58279912996184,False,False,False,False
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Cardiology Ward,2025-12-30,14.958333333333334,18.73030633063691,SARIMA,Cardiology Ward,42,18.73030633063691,20.603336963700603,22.47636759676429,24.349398229827983,44.59596745389741,49.05556419928715,53.515160944676886,57.974757690066625,False,False,False,False
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_Cardiology Ward,2025-12-31,14.333333333333334,20.31161930781439,SARIMA,Cardiology Ward,42,20.31161930781439,22.34278123859583,24.373943169377267,26.405105100158707,48.360998351939024,53.19709818713293,58.03319802232683,62.869297857520735,False,False,False,False
Horizon London Central,HHN-LON-01,HHN-LON-01_Day Case Unit,2025-12-25,0.625,0.6728900607083949,SARIMA,Day Case Unit,4,0.6728900607083949,0.7401790667792344,0.8074680728500738,0.8747570789209134,16.822251517709873,18.50447666948086,20.186701821251845,21.868926973022834,False,False,False,False
Horizon London Central,HHN-LON-01,HHN-LON-01_Day Case Unit,2025-12-26,0.0,0.6200650980772515,SARIMA,Day Case Unit,4,0.6200650980772515,0.6820716078849767,0.7440781176927018,0.806084627500427,15.501627451931288,17.05179019712442,18.601952942317546,20.152115687510673,False,False,False,False
Horizon London Central,HHN-LON-01,HHN-LON-01_Day Case Unit,2025-12-27,0.2083333333333333,0.3160162066828611,SARIMA,Day Case Unit,4,0.3160162066828611,0.34761782735114727,0.37921944801943336,0.41082106868771945,7.900405167071528,8.690445683778682,9.480486200485833,10.270526717192986,False,False,False,False
Horizon London Central,HHN-LON-01,HHN-LON-01_Day Case Unit,2025-12-28,0.5,0.2633675321599077,SARIMA,Day Case Unit,4,0.2633675321599077,0.2897042853758985,0.31604103859188926,0.34237779180788,6.584188303997693,7.2426071343974625,7.901025964797231,8.559444795197,False,False,False,False
Horizon London Central,HHN-LON-01,HHN-LON-01_Day Case Unit,2025-12-29,0.4583333333333333,0.7477917422556347,SARIMA,Day Case Unit,4,0.7477917422556347,0.8225709164811983,0.8973500907067616,0.9721292649323252,18.694793556390866,20.564272912029956,22.433752267669043,24.30323162330813,False,False,False,False
Horizon London Central,HHN-LON-01,HHN-LON-01_Day Case Unit,2025-12-30,0.875,0.8252216408719585,SARIMA,Day Case Unit,4,0.8252216408719585,0.9077438049591544,0.9902659690463501,1.072788133133546,20.63054102179896,22.69359512397886,24.756649226158753,26.81970332833865,False,False,False,False
Horizon London Central,HHN-LON-01,HHN-LON-01_Day Case Unit,2025-12-31,0.3333333333333333,0.7577943460457006,SARIMA,Day Case Unit,4,0.7577943460457006,0.8335737806502708,0.9093532152548407,0.9851326498594108,18.944858651142514,20.83934451625677,22.733830381371018,24.62831624648527,False,False,False,False
Horizon London Central,HHN-LON-01,HHN-LON-01_General Medicine Ward B,2025-12-25,31.041666666666668,32.90595214107309,SARIMA,General Medicine Ward B,35,32.90595214107309,36.1965473551804,39.487142569287705,42.77773778339501,94.01700611735167,103.41870672908686,112.82040734082202,122.22210795255717,False,True,True,True
Horizon London Central,HHN-LON-01,HHN-LON-01_General Medicine Ward B,2025-12-26,33.25,32.33387630372016,SARIMA,General Medicine Ward B,35,32.33387630372016,35.56726393409218,38.80065156446419,42.03403919483621,92.38250372491474,101.62075409740623,110.8590044698977,120.09725484238918,False,True,True,True
Horizon London Central,HHN-LON-01,HHN-LON-01_General Medicine Ward B,2025-12-27,29.041666666666668,33.072700100690746,SARIMA,General Medicine Ward B,35,33.072700100690746,36.37997011075982,39.687240120828896,42.99451013089797,94.4934288591164,103.94277174502807,113.3921146309397,122.84145751685134,False,True,True,True
Horizon London Central,HHN-LON-01,HHN-LON-01_General Medicine Ward B,2025-12-28,30.375,33.626777813683304,SARIMA,General Medicine Ward B,35,33.626777813683304,36.98945559505164,40.352133376419964,43.7148111577883,96.07650803909516,105.68415884300468,115.29180964691419,124.8994604508237,False,True,True,True
Horizon London Central,HHN-LON-01,HHN-LON-01_General Medicine Ward B,2025-12-29,29.0,33.13786888246103,SARIMA,General Medicine Ward B,35,33.13786888246103,36.451655770707134,39.76544265895323,43.07922954719934,94.67962537846007,104.1475879163061,113.6155504541521,123.0835129919981,False,True,True,True
Horizon London Central,HHN-LON-01,HHN-LON-01_General Medicine Ward B,2025-12-30,31.70833333333333,33.58509890553767,SARIMA,General Medicine Ward B,35,33.58509890553767,36.94360879609144,40.3021186866452,43.66062857719897,95.95742544439334,105.55316798883267,115.14891053327202,124.74465307771135,False,True,True,True
Horizon London Central,HHN-LON-01,HHN-LON-01_General Medicine Ward B,2025-12-31,34.75,33.608260988567615,SARIMA,General Medicine Ward B,35,33.608260988567615,36.96908708742438,40.32991318628114,43.6907392851379,96.0236028244789,105.6259631069268,115.22832338937468,124.83068367182257,False,True,True,True
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Orthopaedics Ward B,2025-12-25,21.875,21.796868571498155,SARIMA,Orthopaedics Ward B,32,21.796868571498155,23.976555428647973,26.156242285797784,28.335929142947602,68.11521428593174,74.92673571452492,81.73825714311808,88.54977857171126,False,False,False,False
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Orthopaedics Ward B,2025-12-26,21.166666666666668,21.935801275031903,SARIMA,Orthopaedics Ward B,32,21.935801275031903,24.129381402535095,26.32296153003828,28.516541657541474,68.5493789844747,75.40431688292217,82.25925478136963,89.11419267981711,False,False,False,False
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Orthopaedics Ward B,2025-12-27,18.541666666666668,20.22267213811126,SARIMA,Orthopaedics Ward B,32,20.22267213811126,22.244939351922387,24.267206565733513,26.28947377954464,63.19585043159769,69.51543547475745,75.83502051791723,82.154605561077,False,False,False,False
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Orthopaedics Ward B,2025-12-28,16.083333333333332,18.11842697493239,SARIMA,Orthopaedics Ward B,32,18.11842697493239,19.93026967242563,21.742112369918868,23.553955067412108,56.62008429666372,62.2820927263301,67.94410115599646,73.60610958566284,False,False,False,False
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Orthopaedics Ward B,2025-12-29,17.833333333333332,17.92642114040141,SARIMA,Orthopaedics Ward B,32,17.92642114040141,19.71906325444155,21.51170536848169,23.304347482521834,56.020066063754406,61.622072670129846,67.22407927650528,72.82608588288073,False,False,False,False
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Orthopaedics Ward B,2025-12-30,22.625,19.63595991056171,SARIMA,Orthopaedics Ward B,32,19.63595991056171,21.599555901617883,23.56315189267405,25.526747883730224,61.36237472050534,67.49861219255588,73.6348496646064,79.77108713665694,False,False,False,False
Horizon Manchester,HHN-MAN-01,HHN-MAN-01_Orthopaedics Ward B,2025-12-31,20.875,21.68502912489502,SARIMA,Orthopaedics Ward B,32,21.68502912489502,23.853532037384525,26.022034949874023,28.190537862363527,67.76571601529695,74.54228761682664,81.31885921835632,88.09543081988602,False,False,False,False
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_ICU,2025-12-25,9.0,8.829255070732128,Holt-Winters,ICU,9,8.829255070732128,9.712180577805341,10.595106084878553,11.478031591951765,98.10283411924587,107.91311753117046,117.72340094309503,127.53368435501962,False,True,True,True
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_ICU,2025-12-26,9.0,8.647889612407408,Holt-Winters,ICU,9,8.647889612407408,9.512678573648149,10.377467534888888,11.242256496129631,96.0876623600823,105.69642859609054,115.30519483209875,124.91396106810701,False,True,True,True
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_ICU,2025-12-27,8.5,8.643811498725062,Holt-Winters,ICU,9,8.643811498725062,9.50819264859757,10.372573798470075,11.236954948342582,96.04234998583404,105.64658498441743,115.25081998300084,124.85505498158425,False,True,True,True
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_ICU,2025-12-28,7.541666666666667,8.75940848869814,Holt-Winters,ICU,9,8.75940848869814,9.635349337567956,10.511290186437767,11.387231035307583,97.32676098553489,107.0594370840884,116.79211318264187,126.52478928119537,False,True,True,True
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_ICU,2025-12-29,8.791666666666666,8.875401021642483,Holt-Winters,ICU,9,8.875401021642483,9.762941123806733,10.65048122597098,11.53802132813523,98.61556690713871,108.4771235978526,118.33868028856645,128.20023697928033,False,True,True,True
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_ICU,2025-12-30,8.958333333333334,8.936492473589661,Holt-Winters,ICU,9,8.936492473589661,9.830141720948628,10.723790968307593,11.61744021566656,99.29436081766289,109.2237968994292,119.15323298119549,129.08266906296177,False,True,True,True
Horizon Birmingham,HHN-BIR-01,HHN-BIR-01_ICU,2025-12-31,8.916666666666666,8.91628676742611,Holt-Winters,ICU,9,8.91628676742611,9.80791544416872,10.699544120911332,11.591172797653943,99.06985297140122,108.97683826854134,118.88382356568145,128.7908088628216,False,True,True,True
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_ICU,2025-12-25,6.333333333333333,7.100481531587418,Holt-Winters,ICU,8,7.100481531587418,7.81052968474616,8.5205778379049,9.230625991063643,88.75601914484272,97.631621059327,106.50722297381125,115.38282488829554,False,False,True,True
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_ICU,2025-12-26,7.791666666666667,7.107012427672848,Holt-Winters,ICU,8,7.107012427672848,7.817713670440134,8.528414913207417,9.239116155974703,88.8376553459106,97.72142088050167,106.60518641509272,115.48895194968378,False,False,True,True
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_ICU,2025-12-27,7.916666666666667,7.254880749738465,Holt-Winters,ICU,8,7.254880749738465,7.980368824712312,8.705856899686157,9.431344974660005,90.68600937173082,99.7546103089039,108.82321124607697,117.89181218325007,False,False,True,True
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_ICU,2025-12-28,7.791666666666667,7.3251317177529,Holt-Winters,ICU,8,7.3251317177529,8.05764488952819,8.79015806130348,9.52267123307877,91.56414647191124,100.72056111910237,109.8769757662935,119.03339041348463,False,True,True,True
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_ICU,2025-12-29,7.958333333333333,7.370881939942925,Holt-Winters,ICU,8,7.370881939942925,8.107970133937219,8.84505832793151,9.582146521925804,92.13602424928656,101.34962667421523,110.56322909914387,119.77683152407255,False,True,True,True
Horizon Edinburgh,HHN-EDI-01,HHN-EDI-01_ICU,2025-12-30,7.916666666666667,7.241046553303171,Holt-Winters,ICU,8,7.241046553303171,7.965151208633489,8.689255863963805,9.413360519294123,90.51308191628964,99.56439010791861,108.61569829954756,117.66700649117654,False,False,True,True
