hospital_id,datetime,ward,occupied_beds,staffed_beds,occupancy_rate
HHN-BIR-01,2024-01-01,Orthopaedics Ward B,0.125,10.791666666666666,0.011363636363636362
HHN-BIR-01,2024-01-02,Orthopaedics Ward B,2.2916666666666665,10.916666666666666,0.21098484848484847
HHN-BIR-01,2024-01-03,Orthopaedics Ward B,5.375,11.0,0.4886363636363636
HHN-BIR-01,2024-01-04,Orthopaedics Ward B,8.625,10.833333333333334,0.7988636363636363
HHN-BIR-01,2024-01-05,Orthopaedics Ward B,10.875,10.875,1.0
HHN-BIR-01,2024-01-06,Orthopaedics Ward B,10.958333333333334,10.958333333333334,1.0
HHN-BIR-01,2024-01-07,Orthopaedics Ward B,10.833333333333334,10.833333333333334,1.0
HHN-BIR-01,2024-01-08,Orthopaedics Ward B,10.958333333333334,10.958333333333334,1.0
HHN-BIR-01,2024-01-09,Orthopaedics Ward B,10.958333333333334,10.958333333333334,1.0
HHN-BIR-01,2024-01-10,Orthopaedics Ward B,10.916666666666666,10.916666666666666,1.0
HHN-BIR-01,2024-01-11,Orthopaedics Ward B,10.958333333333334,10.958333333333334,1.0
HHN-BIR-01,2024-01-12,Orthopaedics Ward B,11.0,11.0,1.0
HHN-BIR-01,2024-01-13,Orthopaedics Ward B,10.791666666666666,10.791666666666666,1.0
HHN-BIR-01,2024-01-14,Orthopaedics Ward B,10.875,10.875,1.0
HHN-BIR-01,2024-01-15,Orthopaedics Ward B,10.958333333333334,10.958333333333334,1.0
HHN-BIR-01,2024-01-16,Orthopaedics Ward B,10.958333333333334,10.958333333333334,1.0
HHN-BIR-01,2024-01-17,Orthopaedics Ward B,10.875,10.875,1.0
HHN-BIR-01,2024-01-18,Orthopaedics Ward B,10.916666666666666,10.916666666666666,1.0
HHN-BIR-01,2024-01-19,Orthopaedics Ward B,10.958333333333334,10.958333333333334,1.0
HHN-BIR-01,2024-01-20,Orthopaedics Ward B,10.916666666666666,10.916666666666666,1.0
HHN-BIR-01,2024-01-21,Orthopaedics Ward B,10.833333333333334,10.833333333333334,1.0
HHN-BIR-01,2024-01-22,Orthopaedics Ward B,10.916666666666666,10.916666666666666,1.0
HHN-BIR-01,2024-01-23,Orthopaedics Ward B,10.916666666666666,10.916666666666666,1.0
HHN-BIR-01,2024-01-24,Orthopaedics Ward B,10.916666666666666,10.916666666666666,1.0
HHN-BIR-01,2024-01-25,Orthopaedics Ward B,10.916666666666666,10.916666666666666,1.0
HHN-BIR-01,2024-01-26,Orthopaedics Ward B,10.833333333333334,10.833333333333334,1.0
HHN-BIR-01,2024-01-27,Orthopaedics Ward B,10.875,10.875,1.0
HHN-BIR-01,2024-01-28,Orthopaedics Ward B,10.916666666666666,10.916666666666666,1.0
HHN-BIR-01,2024-01-29,Orthopaedics Ward B,9.791666666666666,10.791666666666666,0.9075757575757576
HHN-BIR-01,2024-01-30,Orthopaedics Ward B,8.875,10.875,0.8159090909090909
HHN-BIR-01,2024-01-31,Orthopaedics Ward B,9.25,11.0,0.8409090909090909
HHN-BIR-01,2024-02-01,Orthopaedics Ward B,10.958333333333334,10.958333333333334,1.0
HHN-BIR-01,2024-02-02,Orthopaedics Ward B,10.791666666666666,10.833333333333334,0.9962121212121212
HHN-BIR-01,2024-02-03,Orthopaedics Ward B,10.583333333333334,10.583333333333334,1.0
HHN-BIR-01,2024-02-04,Orthopaedics Ward B,10.875,10.875,1.0
HHN-BIR-01,2024-02-05,Orthopaedics Ward B,10.875,10.875,1.0
HHN-BIR-01,2024-02-06,Orthopaedics Ward B,10.958333333333334,10.958333333333334,1.0
HHN-BIR-01,2024-02-07,Orthopaedics Ward B,10.583333333333334,10.958333333333334,0.965530303030303
HHN-BIR-01,2024-02-08,Orthopaedics Ward B,10.333333333333334,10.958333333333334,0.9428030303030304
HHN-BIR-01,2024-02-09,Orthopaedics Ward B,10.75,10.75,1.0
HHN-BIR-01,2024-02-10,Orthopaedics Ward B,10.916666666666666,10.916666666666666,1.0
HHN-BIR-01,2024-02-11,Orthopaedics Ward B,10.791666666666666,10.791666666666666,1.0
HHN-BIR-01,2024-02-12,Orthopaedics Ward B,11.0,11.0,1.0
HHN-BIR-01,2024-02-13,Orthopaedics Ward B,10.916666666666666,10.958333333333334,0.9962121212121212
HHN-BIR-01,2024-02-14,Orthopaedics Ward B,10.958333333333334,10.958333333333334,1.0
HHN-BIR-01,2024-02-15,Orthopaedics Ward B,10.833333333333334,10.833333333333334,1.0
HHN-BIR-01,2024-02-16,Orthopaedics Ward B,10.875,10.875,1.0
HHN-BIR-01,2024-02-17,Orthopaedics Ward B,10.958333333333334,10.958333333333334,1.0
HHN-BIR-01,2024-02-18,Orthopaedics Ward B,10.875,10.875,1.0
HHN-BIR-01,2024-02-19,Orthopaedics Ward B,10.833333333333334,10.833333333333334,1.0
HHN-BIR-01,2024-02-20,Orthopaedics Ward B,10.916666666666666,10.916666666666666,1.0
HHN-BIR-01,2024-02-21,Orthopaedics Ward B,10.833333333333334,10.833333333333334,1.0
HHN-BIR-01,2024-02-22,Orthopaedics Ward B,10.916666666666666,10.916666666666666,1.0
HHN-BIR-01,2024-02-23,Orthopaedics Ward B,10.875,10.875,1.0
