hospital_id,datetime,ward,occupied_beds,staffed_beds,occupancy_rate
HHN-BIR-01,2024-01-01,Day Case Unit,0.0,2.9166666666666665,0.0
HHN-BIR-01,2024-01-02,Day Case Unit,0.625,2.875,0.21527777777777776
HHN-BIR-01,2024-01-03,Day Case Unit,0.7916666666666666,2.875,0.2847222222222222
HHN-BIR-01,2024-01-04,Day Case Unit,0.5416666666666666,2.9166666666666665,0.18055555555555555
HHN-BIR-01,2024-01-05,Day Case Unit,1.0833333333333333,2.875,0.3611111111111111
HHN-BIR-01,2024-01-06,Day Case Unit,0.08333333333333333,2.9166666666666665,0.03472222222222222
HHN-BIR-01,2024-01-07,Day Case Unit,0.125,2.7916666666666665,0.048611111111111105
HHN-BIR-01,2024-01-08,Day Case Unit,0.4166666666666667,2.9166666666666665,0.14583333333333334
HHN-BIR-01,2024-01-09,Day Case Unit,0.16666666666666666,2.9583333333333335,0.05555555555555555
HHN-BIR-01,2024-01-10,Day Case Unit,0.4166666666666667,2.875,0.15277777777777776
HHN-BIR-01,2024-01-11,Day Case Unit,0.0,2.9583333333333335,0.0
HHN-BIR-01,2024-01-12,Day Case Unit,0.4583333333333333,2.9166666666666665,0.1597222222222222
HHN-BIR-01,2024-01-13,Day Case Unit,0.5833333333333334,2.875,0.20833333333333334
HHN-BIR-01,2024-01-14,Day Case Unit,0.7083333333333334,2.9166666666666665,0.23611111111111108
HHN-BIR-01,2024-01-15,Day Case Unit,0.8333333333333334,2.9166666666666665,0.27777777777777773
HHN-BIR-01,2024-01-16,Day Case Unit,0.20833333333333334,3.0,0.06944444444444443
HHN-BIR-01,2024-01-17,Day Case Unit,0.75,3.0,0.25
HHN-BIR-01,2024-01-18,Day Case Unit,0.625,2.9166666666666665,0.20833333333333334
HHN-BIR-01,2024-01-19,Day Case Unit,0.7083333333333334,2.9166666666666665,0.25
HHN-BIR-01,2024-01-20,Day Case Unit,0.5,2.7916666666666665,0.1875
HHN-BIR-01,2024-01-21,Day Case Unit,0.2916666666666667,2.75,0.10416666666666667
HHN-BIR-01,2024-01-22,Day Case Unit,0.0,2.9583333333333335,0.0
HHN-BIR-01,2024-01-23,Day Case Unit,0.9166666666666666,2.8333333333333335,0.34027777777777773
HHN-BIR-01,2024-01-24,Day Case Unit,0.4166666666666667,2.9166666666666665,0.13888888888888887
HHN-BIR-01,2024-01-25,Day Case Unit,0.7083333333333334,2.9583333333333335,0.24305555555555555
